max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,1,350,62,19,2.419355,5.105263,7.1327305,53,1,56,52,42,1,1,1
30,1,360,55,18,2.7272727,5.7222223,12.127943,47,1,56,52,42,1,1,1
30,1,370,50,20,3,5.65,12.489796,37,1,56,52,42,1,1,1
30,1,380,47,15,3.1914895,7.2,19.245129,42,1,56,52,42,1,1,1
30,1,390,51,18,2.9411764,5.9444447,15.176478,43,1,56,52,42,1,1,1
30,1,400,50,15,3,7,19.34694,45,1,56,52,42,1,1,1
30,1,410,47,15,3.1914895,7.4666667,23.54948,38,1,56,52,42,1,1,1
30,1,420,39,12,3.8461537,9.416667,38.712563,37,1,56,52,42,1,1,1
30,1,430,39,12,3.8461537,9.5,36.55467,36,1,56,52,42,1,1,1
30,1,440,42,14,3.5714285,8.142858,30.055769,35.999992,1,56,52,42,1,1,1
30,1,450,44,15,3.409091,7.5333333,19.921772,37,1,56,52,42,1,1,1
30,1,460,46,15,3.2608695,7.2,13.885981,42,1,56,52,42,1,1,1
30,1,470,40,15,3.75,7.6666665,18.75641,35,1,56,52,42,1,1,1
30,1,480,40,17,3.75,7,17.987179,31,1,56,52,42,1,1,1
30,1,490,41,19,3.6585367,6.368421,19.930475,29,1,56,52,42,1,1,1
30,1,500,35,16,4.285714,7.5,31.092432,30,1,56,52,42,1,1,1
30,1,510,36,12,4.1666665,9.666667,55.2286,34,1,56,52,42,1,1,1
30,1,520,36,16,4.1666665,7.875,39.971455,24,1,56,52,42,1,1,1
30,1,530,35,15,4.285714,8.333333,53.680668,25.000008,1,56,52,42,1,1,1
30,1,540,40,16,3.75,7.5625,43.525642,29,1,56,52,42,1,1,1
30,1,550,41,16,3.6585367,7.25,15.180484,34,1,56,52,42,1,1,1
30,1,560,40,17,3.75,7.117647,19.47436,29,1,56,52,42,1,1,1
30,1,570,44,17,3.409091,6.7058825,18.758982,36,1,56,52,42,1,1,1
30,1,580,45,18,3.3333333,6.5,19.954548,33,1,56,52,42,1,1,1
30,1,590,42,20,3.5714285,6.3,26.104536,24,1,56,52,42,1,1,1
30,1,600,31,14,4.83871,9.214286,66.406456,21,1,56,52,42,1,1,1
30,1,610,37,16,4.0540543,7.5625,27.163668,29,1,56,52,42,1,1,1
30,1,620,41,17,3.6585367,7,26.530487,31,1,56,52,42,1,1,1
30,1,630,44,14,3.409091,8.071428,19.596191,37,1,56,52,42,1,1,1
30,1,640,43,13,3.488372,8.538462,26.63677,39,1,56,52,42,1,1,1
30,1,650,42,12,3.5714285,9.333333,26.153316,38,1,56,52,42,1,1,1
30,1,660,39,12,3.8461537,9.75,33.765182,33,1,56,52,42,1,1,1
30,1,670,35,11,4.285714,10.909091,68.621864,30,1,56,52,42,1,1,1
30,1,680,39,12,3.8461537,9.583333,31.502028,35,1,56,52,42,1,1,1
30,1,690,37,10,4.0540543,11.6,69.05252,34,1,56,52,42,1,1,1
30,1,700,38,12,3.9473684,9.75,33.132298,33,1,56,52,42,1,1,1
30,1,710,36,11,4.1666665,10.818182,67.74287,31,1,56,52,42,1,1,1
30,1,720,40,14,3.75,8.642858,48.910255,28.999992,1,56,52,42,1,1,1
30,1,730,38,13,3.9473684,9.230769,27.456598,30,1,56,52,42,1,1,1
30,1,740,39,14,3.8461537,8.428572,22.923073,32,1,56,52,42,1,1,1
30,1,750,40,14,3.75,8.428572,42.44872,32,1,56,52,42,1,1,1
30,1,760,39,14,3.8461537,8.642858,42.765182,28.999992,1,56,52,42,1,1,1
30,1,770,36,12,4.1666665,10.083333,45.400032,29,1,56,52,42,1,1,1
30,1,780,36,12,4.1666665,9.833333,34.428596,32,1,56,52,42,1,1,1
30,1,790,32,12,4.6875,10.333333,49.77016,26,1,56,52,42,1,1,1
30,1,800,25,8,6,16.25,95,20,1,56,52,42,1,1,1
30,1,810,29,14,5.172414,9.5,48.433514,17,1,56,52,42,1,1,1
30,1,820,31,9,4.83871,13.777778,93.206406,26,1,56,52,42,1,1,1
30,1,830,33,11,4.5454545,11.272727,100.31821,26,1,56,52,42,1,1,1
30,1,840,35,10,4.285714,11.9,79.26892,31,1,56,52,42,1,1,1
30,1,850,31,10,4.83871,12.6,92.53974,24,1,56,52,42,1,1,1
30,1,860,29,8,5.172414,15.75,106.290596,24,1,56,52,42,1,1,1
30,1,870,27,8,5.5555553,16,172.64095,22,1,56,52,42,1,1,1
30,1,880,29,8,5.172414,15.625,100.290596,25,1,56,52,42,1,1,1
30,1,890,31,10,4.83871,12.4,75.80641,26,1,56,52,42,1,1,1
30,1,900,31,9,4.83871,13.777778,94.2064,26,1,56,52,42,1,1,1
30,1,910,24,7,6.25,18.285715,303.84784,22,1,56,52,42,1,1,1
30,1,920,21,7,7.142857,18.857143,438.9284,18,1,56,52,42,1,1,1
30,1,930,22,7,6.818182,18.571428,419.394,20,1,56,52,42,1,1,1
30,1,940,20,6,7.5,21.666666,479.5263,20,1,56,52,42,1,1,1
30,1,950,20,6,7.5,21.666666,479.5263,20,1,56,52,42,1,1,1
30,1,960,25,8,6,15.875,167.83333,23,1,56,52,42,1,1,1
