max distance,Trial Number, Time Step, Mean Correct Belief (All) 
30,1,2650,1
30,1,2700,1
30,1,2750,1
30,1,2800,1
30,1,2850,1
30,1,2900,1
30,1,2950,1
30,1,3000,1
30,1,3050,1
30,1,3100,1
30,1,3150,1
30,1,3200,1
30,1,3250,1
30,1,3300,1
30,1,3350,1
30,1,3400,1
30,1,3450,1
30,1,3500,1
30,1,3550,1
30,1,3600,1
30,1,3650,1
30,1,3700,1
30,1,3750,1
30,1,3800,1
30,1,3850,1
30,1,3900,1
30,1,3950,1
30,1,4000,1
30,1,4050,1
30,1,4100,1
30,1,4150,1
30,1,4200,1
30,1,4250,1
30,1,4300,1
30,1,4350,1
30,1,4400,1
30,1,4450,1
30,1,4500,1
30,1,4550,0.99333334
30,1,4600,0.99333334
30,1,4650,0.99333334
30,1,4700,0.99333334
30,1,4750,0.99333334
30,1,4800,0.99333334
30,1,4850,0.99333334
30,1,4900,0.99333334
30,1,4950,0.99333334
30,1,5000,0.99333334
30,2,50,0.9066667
30,2,100,0.91333336
30,2,150,0.9266667
30,2,200,0.94
30,2,250,0.94
30,2,300,0.94666666
30,2,350,0.96
30,2,400,0.96
30,2,450,0.96
30,2,500,0.96666664
30,2,550,0.96666664
30,2,600,0.96666664
30,2,650,0.97333336
30,2,700,0.97333336
30,2,750,0.9866667
30,2,800,0.9866667
30,2,850,0.99333334
30,2,900,0.99333334
30,2,950,0.99333334
30,2,1000,0.99333334
30,2,1050,0.99333334
30,2,1100,0.99333334
30,2,1150,0.99333334
30,2,1200,0.99333334
30,2,1250,0.99333334
30,2,1300,0.99333334
30,2,1350,0.99333334
30,2,1400,0.99333334
30,2,1450,0.99333334
30,2,1500,0.99333334
30,2,1550,0.99333334
30,2,1600,1
30,2,1650,1
30,2,1700,1
30,2,1750,1
30,2,1800,1
30,2,1850,1
30,2,1900,1
30,2,1950,1
30,2,2000,1
30,2,2050,1
30,2,2100,1
30,2,2150,1
30,2,2200,1
30,2,2250,1
30,2,2300,1
30,2,2350,1
30,2,2400,1
30,2,2450,1
30,2,2500,1
30,2,2550,1
30,2,2600,1
30,2,2650,1
30,2,2700,1
30,2,2750,1
30,2,2800,1
30,2,2850,1
30,2,2900,1
30,2,2950,1
30,2,3000,1
30,2,3050,1
30,2,3100,1
30,2,3150,1
30,2,3200,1
30,2,3250,1
30,2,3300,1
30,2,3350,1
30,2,3400,1
30,2,3450,1
30,2,3500,1
30,2,3550,1
30,2,3600,1
30,2,3650,1
30,2,3700,1
30,2,3750,1
30,2,3800,1
30,2,3850,1
30,2,3900,1
30,2,3950,1
30,2,4000,1
30,2,4050,1
30,2,4100,1
30,2,4150,1
30,2,4200,1
30,2,4250,1
30,2,4300,1
30,2,4350,1
30,2,4400,1
30,2,4450,1
30,2,4500,1
30,2,4550,1
30,2,4600,1
30,2,4650,1
30,2,4700,1
30,2,4750,1
30,2,4800,1
30,2,4850,1
30,2,4900,1
30,2,4950,1
30,2,5000,1
30,3,50,0.9266667
