update algorithm,max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
m1,30,1,50,95,14,1.5789474,3.642857,1.0974255,99,0.91333336,46,43,48,0.93877554,0.9148936,0.8888889
m1,30,1,100,73,13,2.0547945,5.8461537,6.274725,74,0.93333334,47,43,50,0.9591837,0.9148936,0.9259259
m1,30,1,150,76,12,1.9736842,6.3333335,11.492628,74,0.9533333,48,43,52,0.97959185,0.9148936,0.962963
m1,30,1,200,61,14,2.4590163,6.357143,8.219122,61,0.96,48,43,53,0.97959185,0.9148936,0.9814815
m1,30,1,250,64,16,2.34375,5.5625,6.260913,61,0.96,48,43,53,0.97959185,0.9148936,0.9814815
m1,30,1,300,53,16,2.8301888,6.375,14.028309,48,0.96,48,43,53,0.97959185,0.9148936,0.9814815
m1,30,1,350,51,13,2.9411764,7.923077,27.016489,47,0.96,48,43,53,0.97959185,0.9148936,0.9814815
m1,30,1,400,40,14,3.75,8.214286,75.73077,35,0.96,48,43,53,0.97959185,0.9148936,0.9814815
m1,30,1,450,42,13,3.5714285,8.307693,64.44602,42,0.96,48,43,53,0.97959185,0.9148936,0.9814815
m1,30,1,500,34,9,4.4117646,13.222222,74.12835,31,0.97333336,48,44,54,0.97959185,0.9361702,1
m1,30,1,550,38,12,3.9473684,9.916667,50.97014,31,0.97333336,48,44,54,0.97959185,0.9361702,1
m1,30,1,600,30,11,5,11.363636,67.17242,25,0.97333336,48,44,54,0.97959185,0.9361702,1
m1,30,1,650,33,11,4.5454545,10.818182,59.00567,31,0.97333336,48,44,54,0.97959185,0.9361702,1
m1,30,1,700,28,13,5.357143,10.153846,48.164036,18,0.98,48,45,54,0.97959185,0.9574468,1
m1,30,1,750,28,13,5.357143,10,53.86774,20,0.98,48,45,54,0.97959185,0.9574468,1
m1,30,1,800,32,14,4.6875,8.928572,36.47984,25,0.9866667,48,46,54,0.97959185,0.9787234,1
m1,30,1,850,39,13,3.8461537,9.307693,81.87046,29,0.9866667,48,46,54,0.97959185,0.9787234,1
m1,30,1,900,35,17,4.285714,7.4117646,43.2689,24,0.9866667,48,46,54,0.97959185,0.9787234,1
m1,30,1,950,43,19,3.488372,6.1578946,15.303444,33,0.9866667,48,46,54,0.97959185,0.9787234,1
m1,30,1,1000,44,18,3.409091,6.1666665,14.061308,39,0.9866667,48,46,54,0.97959185,0.9787234,1
m1,30,1,1050,33,17,4.5454545,7.470588,32.50568,23,0.9866667,48,46,54,0.97959185,0.9787234,1
m1,30,1,1100,38,17,3.9473684,7.2941175,25.18633,26,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1150,30,12,5,10.833333,119.24138,20,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1200,40,18,3.75,6.888889,24.192308,26,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1250,35,12,4.285714,10.25,60.798317,27,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1300,39,15,3.8461537,8.133333,38.502026,28,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1350,39,16,3.8461537,7.625,21.44939,28,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1400,43,17,3.488372,6.7647057,13.922485,35,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1450,37,20,4.0540543,6.55,17.385893,19,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1500,35,16,4.285714,7.75,29.563023,26,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1550,33,14,4.5454545,9.071428,36.380672,23,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1600,28,15,5.357143,8.866667,54.608475,17,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1650,35,16,4.285714,8,34.563023,22,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1700,33,14,4.5454545,9.142858,55.068157,22,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1750,30,14,5,9.285714,96.06896,20,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1800,39,17,3.8461537,7.2352943,22.870447,27,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1850,26,14,5.769231,9.571428,64.42462,16,0.99333334,49,46,54,1,0.9787234,1
m1,30,1,1900,31,15,4.83871,8.666667,44.139786,20,1,49,47,54,1,1,1
m1,30,1,1950,33,19,4.5454545,7,20.193182,17,1,49,47,54,1,1,1
m1,30,1,2000,30,17,5,7.7647057,20.48276,18,1,49,47,54,1,1,1
m1,30,1,2050,29,13,5.172414,9.923077,70.57637,21,1,49,47,54,1,1,1
m1,30,1,2100,30,11,5,11.545455,73.24138,22.999992,1,49,47,54,1,1,1
m1,30,1,2150,27,9,5.5555553,13.888889,105.94876,25,1,49,47,54,1,1,1
m1,30,1,2200,24,9,6.25,14.444445,150.36957,20,1,49,47,54,1,1,1
m1,30,1,2250,17,7,8.823529,19.428572,301.4044,14,1,49,47,54,1,1,1
m1,30,1,2300,25,10,6,13.2,103.333336,18,1,49,47,54,1,1,1
m1,30,1,2350,33,11,4.5454545,11,42.630657,29,1,49,47,54,1,1,1
m1,30,1,2400,32,13,4.6875,9.384615,63.447582,28.000008,1,49,47,54,1,1,1
m1,30,1,2450,28,12,5.357143,10.666667,79.64549,22,1,49,47,54,1,1,1
m1,30,1,2500,24,10,6.25,13.1,124.28261,19,1,49,47,54,1,1,1
m1,30,1,2550,24,9,6.25,14.333333,204.80435,21,1,49,47,54,1,1,1
m1,30,1,2600,20,7,7.5,19,520.1579,17,1,49,47,54,1,1,1
m1,30,1,2650,18,2,8.333333,65,430.94128,20,1,49,47,54,1,1,1
m1,30,1,2700,17,4,8.823529,33.5,371.7794,16,1,49,47,54,1,1,1
m1,30,1,2750,20,5,7.5,25.8,402.26315,21,1,49,47,54,1,1,1
m1,30,1,2800,15,5,10,27.2,450.2857,14,1,49,47,54,1,1,1
m1,30,1,2850,23,9,6.521739,14.666667,180.71536,18,1,49,47,54,1,1,1
m1,30,1,2900,20,5,7.5,26.6,564.3684,17,1,49,47,54,1,1,1
m1,30,1,2950,19,9,7.894737,15.111111,148.98825,14,1,49,47,54,1,1,1
m1,30,1,3000,20,12,7.5,11.5,150.78947,12,1,49,47,54,1,1,1
m1,30,1,3050,22,12,6.818182,11.5,88.91773,12,1,49,47,54,1,1,1
m1,30,1,3100,29,12,5.172414,10.833333,65.71923,20,1,49,47,54,1,1,1
m1,30,1,3150,18,8,8.333333,17.25,174.2353,12,1,49,47,54,1,1,1
m1,30,1,3200,18,8,8.333333,17.25,325.5295,12,1,49,47,54,1,1,1
m1,30,1,3250,25,13,6,10.307693,66.166664,16,1,49,47,54,1,1,1
m1,30,1,3300,18,9,8.333333,15.444445,337.8824,11,1,49,47,54,1,1,1
m1,30,1,3350,23,10,6.521739,13.4,177.16989,16,1,49,47,54,1,1,1
m1,30,1,3400,26,12,5.769231,11.166667,90.50463,16,1,49,47,54,1,1,1
m1,30,1,3450,23,9,6.521739,15,288.26096,15,1,49,47,54,1,1,1
m1,30,1,3500,36,14,4.1666665,8.928572,33.742878,25,1,49,47,54,1,1,1
m1,30,1,3550,26,8,5.769231,15.75,159.22462,24,1,49,47,54,1,1,1
m1,30,1,3600,31,10,4.83871,12.3,54.47312,27,1,49,47,54,1,1,1
m1,30,1,3650,33,9,4.5454545,13,84.75569,33,1,49,47,54,1,1,1
m1,30,1,3700,29,11,5.172414,11.636364,78.07635,22,1,49,47,54,1,1,1
m1,30,1,3750,26,13,5.769231,10.307693,54.104626,16,1,49,47,54,1,1,1
m1,30,1,3800,31,13,4.83871,9.769231,30.87313,23,1,49,47,54,1,1,1
m1,30,1,3850,26,14,5.769231,9.5,36.42461,17,1,49,47,54,1,1,1
m1,30,1,3900,35,15,4.285714,8.133333,27.915964,28,1,49,47,54,1,1,1
m1,30,1,3950,35,13,4.285714,9.230769,50.73949,30,1,49,47,54,1,1,1
m1,30,1,4000,26,11,5.769231,11.727273,68.98464,21,1,49,47,54,1,1,1
m1,30,1,4050,31,13,4.83871,9.692307,47.406467,24,1,49,47,54,1,1,1
m1,30,1,4100,27,12,5.5555553,11.083333,152.17952,17,1,49,47,54,1,1,1
m1,30,1,4150,30,9,5,13.666667,65.034485,27,1,49,47,54,1,1,1
m1,30,1,4200,32,12,4.6875,10.25,56.157257,27,1,49,47,54,1,1,1
m1,30,1,4250,33,14,4.5454545,8.928572,63.380665,25,1,49,47,54,1,1,1
m1,30,1,4300,32,15,4.6875,8.533334,25.383064,22,1,49,47,54,1,1,1
m1,30,1,4350,38,14,3.9473684,8.428572,25.997139,32,1,49,47,54,1,1,1
m1,30,1,4400,39,14,3.8461537,8.357142,35.186245,33.000008,1,49,47,54,1,1,1
m1,30,1,4450,33,16,4.5454545,8.0625,47.13066,21,1,49,47,54,1,1,1
m1,30,1,4500,24,12,6.25,11.166667,182.80435,16,1,49,47,54,1,1,1
m1,30,1,4550,27,10,5.5555553,12.7,167.48712,23,0.99333334,49,47,53,1,1,0.9814815
m1,30,1,4600,31,16,4.83871,8,85.406425,22,0.99333334,49,47,53,1,1,0.9814815
m1,30,1,4650,27,9,5.5555553,13.888889,155.17953,25,0.99333334,49,47,53,1,1,0.9814815
m1,30,1,4700,23,13,6.521739,10.615385,116.169914,12,0.99333334,49,47,53,1,1,0.9814815
m1,30,1,4750,26,14,5.769231,9.571428,54.02462,16,0.99333334,49,47,53,1,1,0.9814815
m1,30,1,4800,27,12,5.5555553,11,98.17953,18,0.99333334,49,47,53,1,1,0.9814815
m1,30,1,4850,33,16,4.5454545,8.0625,39.25566,21,0.99333334,49,47,53,1,1,0.9814815
m1,30,1,4900,40,17,3.75,7,21.064102,31,0.99333334,49,47,53,1,1,0.9814815
m1,30,1,4950,36,16,4.1666665,7.6875,25.057138,27,0.99333334,49,47,53,1,1,0.9814815
m1,30,1,5000,31,12,4.83871,10.416667,110.006424,25,0.99333334,49,47,53,1,1,0.9814815
m1,30,2,50,90,13,1.6666666,4.5384617,2.022471,91,0.9066667,45,43,48,0.9574468,0.9347826,0.84210527
m1,30,2,100,72,15,2.0833333,5.5333333,5.457751,67,0.91333336,46,43,48,0.9787234,0.9347826,0.84210527
m1,30,2,150,63,14,2.3809524,6.285714,10.884807,62,0.9266667,46,43,50,0.9787234,0.9347826,0.877193
m1,30,2,200,53,16,2.8301888,6.4375,10.028298,47,0.94,47,44,50,1,0.95652175,0.877193
m1,30,2,250,53,17,2.8301888,6.4117646,16.259079,41,0.94,47,44,50,1,0.95652175,0.877193
m1,30,2,300,60,19,2.5,5.368421,12.661017,48,0.94666666,47,44,51,1,0.95652175,0.8947368
m1,30,2,350,66,12,2.2727273,6.75,11.062927,69,0.96,47,44,53,1,0.95652175,0.9298246
m1,30,2,400,58,21,2.586207,4.857143,5.1240163,48,0.96,47,44,53,1,0.95652175,0.9298246
m1,30,2,450,48,16,3.125,6.8125,15.558511,41,0.96,47,44,53,1,0.95652175,0.9298246
m1,30,2,500,38,11,3.9473684,10.636364,70.15935,33,0.96666664,47,44,54,1,0.95652175,0.94736844
m1,30,2,550,46,13,3.2608695,8.153846,27.041573,44.000008,0.96666664,47,44,54,1,0.95652175,0.94736844
m1,30,2,600,50,14,3,7.428571,16.367348,46,0.96666664,47,44,54,1,0.95652175,0.94736844
m1,30,2,650,40,13,3.75,8.846154,26.807692,34.999992,0.97333336,47,44,55,1,0.95652175,0.9649123
m1,30,2,700,31,7,4.83871,16.714285,88.67309,33.000008,0.97333336,47,44,55,1,0.95652175,0.9649123
m1,30,2,750,24,7,6.25,18.142857,278.80435,23,0.9866667,47,45,56,1,0.9782609,0.98245615
m1,30,2,800,23,9,6.521739,14.444445,273.53372,20,0.9866667,47,45,56,1,0.9782609,0.98245615
m1,30,2,850,28,9,5.357143,14,254.016,24,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,900,27,7,5.5555553,17.428572,357.41013,28,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,950,24,6,6.25,21,245.5,24,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1000,30,11,5,11.727273,212,21,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1050,37,12,4.0540543,9.833333,72.385864,32,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1100,29,10,5.172414,12.8,120.57632,22,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1150,33,12,4.5454545,10.416667,81.25571,25,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1200,27,9,5.5555553,14.111111,93.87183,23,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1250,31,10,4.83871,12.3,80.40641,27,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1300,44,16,3.409091,7.0625,17.084564,37,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1350,33,12,4.5454545,10.25,51.31816,27,0.99333334,47,46,56,1,1,0.98245615
m1,30,2,1400,39,19,3.8461537,6.4736843,24.870445,27,0.99333334,47,46,56,1,1,0.98245615
