max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,0,930,31,15,4.83871,8.733334,38.27313,19,1,48,48,54,1,1,1
30,0,940,30,14,5,9.214286,49.448277,21,1,48,48,54,1,1,1
30,0,950,32,17,4.6875,7.7647057,38.60887,18,1,48,48,54,1,1,1
30,0,960,30,16,5,8.4375,57.310345,15,1,48,48,54,1,1,1
30,0,970,31,15,4.83871,8.666667,48.606453,20,1,48,48,54,1,1,1
30,0,980,30,15,5,8.866667,55.58621,17,1,48,48,54,1,1,1
30,0,990,31,13,4.83871,9.769231,43.139786,23,1,48,48,54,1,1,1
30,0,1000,30,14,5,9.357142,40.275864,19,1,48,48,54,1,1,1
30,1,10,120,8,1.25,3,0.32352942,126,0.99333334,44,47,58,1,1,0.9830508
30,1,20,115,9,1.3043479,3.6666667,0.6872623,117,1,44,47,59,1,1,1
30,1,30,111,10,1.3513514,3.9,0.82997775,111,1,44,47,59,1,1,1
30,1,40,107,12,1.4018692,3.5,0.7143361,108,1,44,47,59,1,1,1
30,1,50,98,14,1.5306122,3.5,0.95266026,101,1,44,47,59,1,1,1
30,1,60,97,11,1.5463917,3.909091,1.0004305,107,1,44,47,59,1,1,1
30,1,70,91,13,1.6483517,4.1538463,1.4749687,96,1,44,47,59,1,1,1
30,1,80,95,11,1.5789474,4.4545455,1.7995498,101,1,44,47,59,1,1,1
30,1,90,90,14,1.6666666,4.142857,1.8651679,92,1,44,47,59,1,1,1
30,1,100,86,17,1.744186,4.0588236,1.9102623,81,1,44,47,59,1,1,1
30,1,110,81,15,1.8518518,4.6666665,3.4277737,80,1,44,47,59,1,1,1
30,1,120,81,15,1.8518518,4.5333333,3.3277736,82,1,44,47,59,1,1,1
30,1,130,75,15,2,5,4.189189,75,1,44,47,59,1,1,1
30,1,140,77,11,1.9480519,6.090909,7.9972625,83,1,44,47,59,1,1,1
30,1,150,75,15,2,5.133333,3.8648648,73,1,44,47,59,1,1,1
30,1,160,72,16,2.0833333,5.25,8.612661,66,1,44,47,59,1,1,1
30,1,170,71,15,2.1126761,5.6666665,10.358544,65,1,44,47,59,1,1,1
30,1,180,75,12,2,5.8333335,7.6486487,80,1,44,47,59,1,1,1
30,1,190,77,13,1.9480519,5.5384617,5.523581,78,1,44,47,59,1,1,1
30,1,200,70,16,2.142857,5.3125,4.7619047,65,1,44,47,59,1,1,1
30,1,210,68,21,2.2058823,4.4761906,5.0614624,56,1,44,47,59,1,1,1
30,1,220,68,19,2.2058823,4.7894735,4.4345956,59,1,44,47,59,1,1,1
30,1,230,68,18,2.2058823,5.1666665,5.568927,57,1,44,47,59,1,1,1
30,1,240,66,17,2.2727273,5.4117646,5.7090945,58,1,44,47,59,1,1,1
